,seq,epochL,dateL,C3,dv,tof,vinf,C3,dvTot,tof,vInfF
1,E(2:1+)EJN,10593,915192066.183927,29.08,1.17,6385.21,7.84,29.0756967338258,1.17333870383243,6385.21068493477,7.84049598822995
2,E(2:1+)EJN,10593,915192066.183927,29.08,1.35,7240.24,6.27,29.0756967338258,1.35226532527385,7240.24068493477,6.27333909152845
3,E(2:1+)EJN,10593,915192066.183927,28.14,1.42,6371.51,7.86,28.1351024193159,1.41776117410629,6371.50580531123,7.86334174510655
4,E(2:1+)EJN,10593,915192066.183927,28.14,1.43,5516.48,10.12,28.1351024193159,1.42896011715751,5516.47580531123,10.1233987125938
5,E(2:1+)EJN,10593,915192066.183927,28.14,1.47,4598.88,13.77,28.1351024193159,1.46567966356431,4598.87913864456,13.77328081002
6,E(2:1+)EJN,10593,915192066.183927,29.08,1.48,8095.27,5.14,29.0756967338258,1.4755927222192,8095.27068493477,5.14463288890582
7,E(3:1-)EJN,10713,925560066.185481,48.3,1.48,7385.31,6.01,48.3021947513538,1.48169638990531,7385.30994457748,6.01224664805305
8,E(2:1+)EJN,10593,915192066.183927,28.14,1.51,8999.16,4.3,28.1351024193159,1.51490919656704,8999.16247197789,4.29655501795134
9,E(2:1+)EJN,10593,915192066.183927,29.08,1.57,5530.18,10.09,29.0756967338258,1.56647160092967,5530.18068493477,10.0923824394985
10,E(2:1+)EJN,10593,915192066.183927,29.08,1.58,9012.87,4.29,29.0756967338258,1.5755137004704,9012.86735160144,4.29075089312495
11,E(2:1+)EJN,10593,915192066.183927,29.08,1.58,8950.3,4.32,29.0756967338258,1.57670129030465,8950.30068493477,4.31969665635292
12,E(2:1+)EJN,10593,915192066.183927,29.08,1.59,4612.58,13.73,29.0756967338258,1.5889913415076,4612.5840182681,13.7296501120056
13,E(2:1+)EJN,10593,915192066.183927,28.14,1.61,7226.54,6.29,28.1351024193159,1.61441775829296,7226.53580531123,6.28997801577646
14,E(2:1+)EJN,10593,915192066.183927,28.14,1.63,8144.13,5.11,28.1351024193159,1.62835616939505,8144.13247197789,5.10554923096219
15,E(2:1+)EJN,10593,915192066.183927,29.08,1.69,8157.84,5.1,29.0756967338258,1.693375778809,8157.83735160144,5.09522263201502
16,E(3:1-)EJN,10701,924523266.185602,48.3,1.71,6530.28,7.47,48.3021947513538,1.71119466908239,6530.27994457748,7.47208561409106
17,E(3:1-)EJN,10713,925560066.185481,48.3,1.72,8240.34,4.99,48.3021947513538,1.71781813412043,8240.33994457748,4.98512387706757
18,E(2:1+)EJN,10605,916228866.184273,28.14,1.73,6371.51,7.84,28.1351024193159,1.72969722797967,6371.50580531122,7.84321665116417
19,E(3:1-)EJN,10713,925560066.185481,48.3,1.74,6530.28,7.46,48.3021947513538,1.73572091658406,6530.27994457748,7.45817138345274
20,E(2:1+)EJN,10593,915192066.183927,28.14,1.74,8081.57,5.16,28.1351024193159,1.73713745194958,8081.56580531123,5.1561742859484
21,E(2:1+)EJN,10593,915192066.183927,28.14,1.76,7289.1,6.22,28.1351024193159,1.7606226283279,7289.10247197789,6.21589233850286
22,E(2:1+)EJN,10593,915192066.183927,29.08,1.83,7302.81,6.2,29.0756967338258,1.82967957142988,7302.80735160144,6.20036889366132
23,E(2:1+)EJN,10593,915192066.183927,28.14,1.84,8936.6,4.33,28.1351024193159,1.83615537018521,8936.59580531123,4.32682388666373
24,E(3:1+)EJN,10641,919339266.185182,49.38,1.85,7457.97,6.01,49.3846712136251,1.84700603258358,7457.96577377499,6.01207080003374
25,E(3:1+)EJN,10641,919339266.185182,49.69,1.86,8319.82,4.98,49.694058605649,1.85713265025833,8319.8205341434,4.98303053470711
